name	period	DM	flux_1GHz  spec_index	uscale	W50	Weff	obs	Freq	BW	tobs	tsub	nbin	scat_ts	scat_ts_var	diss_ts	diss_bw	niss_fit	S-	S0	S+	rms_J1	rms_J1_UL	rms_red	rms_red_UL	rms_achr	rms_achr_UL	rms_chr	rms_chr_UL
B1855+09	5.3621	13.3	7.4	-1.5	8.442523	517.907428	750	AO	1.4	0.603	8.871	85.2	2048	0.0213	0.0453	1350	3.84	1.9	7.8	14.6	28	105.47	0	0.8563	0	0.8547	0	0.0465	1
B1937+21	1.557807	71	28.8	-2.3	21.906848	36.93336	145	AO	1.4	0.603	9.1085	84.1	2048	0.0443	0.0885	301	2.07	4.1	70.6	122.1	203.5	6.12	0	0.7333	0	0.7327	0	0.0578	1
B1953+29	6.133167	104.5	1.7	-2.7	8.000049	224.254078	823	AO	1.4	0.603	7.2465	84.6	2048	0.0553	None	293	2.14	11.2	3.5	4.3	5.6	173.94	0	1.6721	0	0.8308	1	0.6636	0
J0023+0923	3.050203	14.3	0.4	-1.7	11.765592	200.957149	430	AO	1.4	0.603	2.3019	84.6	2048	0.0062	0.0063	1120	15.1	1	3.9	6.5	13.5	33.03	1	0.3094	0	0.2962	0	0.0235	1
J0030+0451	4.865453	4.3	1.9	-2.1	7.776911	504.730586	540	AO	1.4	0.603	8.7728	85.9	2048	0.000055	None	9260	979	5.1	3.9	5.3	7.9	131.32	0	0.6832	0	0.6696	0	0.0564	1
J0340+4130	3.299339	49.6	0.4	-1.7	10.567476	212.925381	515	GBT	1.4	0.642	1.6818	126	2048	0.0147	0.0236	400	6.72	37	3.4	3.9	4.3	690.54	1	1.0675	0	1.1596	1	0.9773	1
J0613-0200	3.061844	38.8	3.9	-1.8	7.063104	273.657781	331	GBT	1.4	0.642	8.5903	126.5	2048	0.0117	0.0207	4140	8.19	3.7	3.4	3.9	4.8	47.55	1	0.538	0	0.5281	0	0.1592	1
J0636+5128	2.8689528	11.1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J0645+5158	8.853497	18.2	0.5	-1.7	40.385525	116.909247	627	GBT	1.4	0.642	2.4158	128.8	2048	0.0062	0.0031	720	22.3	1	3.9	6	12.8	39.24	1	0.1049	0	0.1141	1	0.0763	1
J0740+6620	2.88573641	14.9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J0931-1902	4.638029	41.5	None	None	6.774018	348.10807	466	GBT	1.4	0.642	0.6445	126.5	2048	0.0032	0.0016	590	37.1	1.9	3.4	4.2	6.6	137.65	1	0.7563	1	0.3854	1	0.5003	1
J1012+5307	5.255749	9	5.9	-1.7	6.65027	584.055757	634	GBT	1.4	0.642	9.2234	128.8	2048	0.0025	0.0005	1240	49	1	3.9	6.1	12.4	84.82	1	1.9073	0	1.3261	0	1.2593	0
J1024-0719	5.162205	6.5	2	-0.9	8.425569	141.245853	574	GBT	1.4	0.642	4.0189	128.8	2048	0.0028	0.0038	3850	34.5	1	3.5	4.6	7.5	85.64	1	0.3211	0	0.2857	0	0.1851	1
J1125+7819	4.20160911	11.2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J1453+1902	7.9872048	13.5	0.5	-1.7	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J1455-3330	7.987205	13.6	1.8	-1.6	14.741998	207.188165	996	GBT	1.4	0.642	9.2231	121.7	2048	0.004	0.0031	976	51.4	1.7	3.7	5.2	8.7	118.66	0	0.5669	0	0.6703	1	0.3813	1
J1600-3053	3.597928	52.3	2.8	-0.5	21.687469	70.17336	424	GBT	1.4	0.642	5.9826	122.5	2048	0.093	0.0465	249	0.0665	10.6	5.5	7.6	10	24.75	1	0.1631	0	0.0553	1	0.598	0
J1614-2230	3.150808	34.5	None	None	15.704868	83.978508	391	GBT	1.4	0.642	5.0949	122.5	2048	0.0162	0.0181	443	6.64	1.2	3.5	4.5	6.7	65.77	0	0.2025	1	0.1454	1	0.1745	1
J1640+2224	3.163316	18.4	2.5	-1.7	14.173664	220.349225	465	AO	1.4	0.603	8.9093	84.6	2048	0.0026	0.0028	951	41.6	1	4.3	7.5	18.4	126.79	0	0.3734	0	0.0739	1	0.0819	0
J1643-1224	4.621641	62.4	9.1	-2.2	10.223822	314.581223	973	GBT	1.4	0.642	9.0181	122.5	2048	0.09	0.045	536	0.0162	11.5	5.6	7.7	10.2	136.7	0	2.3411	0	1.9139	0	1.1945	0
J1713+0747	4.570137	15.97	10.3	-1.2	26.827444	108.538528	539	AO	1.4	0.603	8.7758	82	2048	0.0071	0.0119	2630	15.6	1	21.7	74.1	235.8	24.48	0	0.0837	0	0.0793	0	0.0917	1
J1738+0333	5.850096	33.8	None	None	16.311945	120.477165	643	AO	1.4	0.603	3.9864	83.4	2048	0.0094	0.0111	554	12.4	1	3.8	6.1	14.5	57.13	0	0.2088	1	0.1282	1	0.3568	1
J1741+1351	3.747154	24.2	1.6	-1.7	27.262605	86.283584	390	AO	1.4	0.603	4.2485	85	2048	0.005	0.0207	2110	12.6	1	4	7	16.7	40.88	0	0.1233	1	0.0997	1	0.0461	1
J1744-1134	4.074546	3.1	4.9	-1.5	27.010938	136.846082	511	GBT	1.4	0.642	9.2258	121.7	2048	0.0038	0.0041	1910	31.1	1	5.6	11.9	25.9	29.23	0	0.3945	0	0.3934	0	0.0373	1
J1747-4036	1.64561	152.9	None	None	5.09619	99.563344	None	None	1.4	None	None	None	None	2.3	1.15	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J1832-0836	2.719112	28.2	1.9	-1.7	11.864638	48.4992	None	None	1.4	None	None	None	None	0.018	0.009	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J1853+1303	4.091797	30.6	0.5	-1.7	10.039388	124.521109	346	AO	1.4	0.603	5.6027	83.4	2048	0.0117	0.012	1340	9.37	1	3.6	4.7	8	39.14	1	0.25	1	0.1673	1	0.1041	1
J1903+0327	2.149912	297.5	2.3	-1.7	9.280784	195.428973	405	AO	1.4	0.603	3.9863	82.6	2048	230	115	11.1	0.0013	51.3	3.3	3.6	4	235.15	1	1.297	0	0.8251	1	3.2125	0
J1909-3744	2.947108	10.4	2.6	-1.3	61.373117	41.03603	261	GBT	1.4	0.642	9.0539	121.7	2048	0.0049	0.00245	2080	28.8	1	4.8	10.6	30.1	10.94	0	0.0693	0	0.0371	1	0.0681	0
J1910+1256	4.983584	38.1	0.6	-1.7	24.887645	132.765641	634	AO	1.4	0.603	8.8383	82	2048	0.0578	0.0289	1120	1.7	5.3	4.6	7.2	10.4	114.23	0	1.4942	0	1.4572	0	1.8756	1
J1911+1347	None	31	0.1	-1.7	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J1918-0642	7.645873	26.6	2	-1.5	17.697371	150.671078	879	GBT	1.4	0.642	9.0181	121.7	2048	0.0097	0.00485	733	11	1	3.8	5.9	11.3	69.85	1	0.2247	0	0.2461	1	0.2439	1
J1923+2515	3.788156	18.9	None	None	12.103767	145.849328	534	AO	1.4	0.603	1.57	83.9	2048	0.0061	0.00305	2080	15.9	6.4	4	5.2	7.5	133.01	0	0.987	0	0.9463	0	0.0899	1
J1944+0907	5.185202	24.3	0.8	-1.7	4.095595	364.476613	949	AO	1.4	0.603	5.712	83.4	2048	0.0101	0.0232	1660	7.82	1.4	4.2	7.1	12.3	163.29	0	2.0248	0	2.0155	0	0.0957	1
J1949+3106	13.138183	None	None	None	34.051913	141.779634	None	None	1.4	None	None	None	None	0.61	0.305	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J2010-1323	5.223271	22.2	2.8	-1.7	19.979013	247.209217	527	GBT	1.4	0.642	4.0823	121.7	2048	0.0193	0.0265	834	5.09	1	3.5	4.2	6.2	78.1	1	0.4101	0	0.4861	1	0.2845	1
J2017+0603	2.896216	23.9	0.9	-1.7	11.502083	63.988334	242	AO	1.4	0.603	1.6682	83.4	2048	0.0084	0.0087	1360	15.9	1	3.6	5.2	9.8	42.54	1	0.1364	1	0.0954	1	0.0891	1
J2033+1734	None	25.1	0.6	-1.7	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J2043+1711	2.379879	20.7	0.2	-1.7	15.818079	21.127159	178	AO	1.4	0.603	2.2827	83.5	2048	0.0018	0.0009	1970	63.7	1	3.8	5.6	9	37.4	1	0.1459	1	0.1032	1	0.0508	1
J2145-0750	16.052424	9	10.6	-2.3	15.210249	338.611299	1823	GBT	1.4	0.642	9.0866	121.7	2048	0.0028	0.0032	3130	35.3	1	5.5	12.7	29.2	40.19	0	0.751	0	0.748	0	0.0823	1
J2214+3000	3.119227	22.6	None	None	10.750439	181.036861	562	AO	1.4	0.603	2.0669	82	2048	0.0031	0.0101	1480	17	1	4	6.6	16.2	103.3	0	0.7627	0	0.7459	0	0.3438	1
J2229+2643	None	23	1.8	-2.1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J2234+0611	3.576581	10.8	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J2234+0944	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
J2302+4442	5.192325	13.8	2.2	-1.8	4.812064	346.90034	682	GBT	1.4	0.642	1.6818	128.8	2048	0.0141	0.0122	2520	7.31	1.5	3.4	3.9	5.2	205.53	1	1.2009	1	0.8343	1	0.5341	1
J2317+1439	3.445251	21.9	5.6	-1.3	8.681703	152.22853	376	AO	1.4	0.603	8.8792	85.7	2048	0.003	0.0021	747	30.9	1	3.9	6.7	26.8	60.76	0	0.4224	0	0.4111	0	0.0228	1
