#freq	Trx	G	eps 
0.7     30      1.8     0.01
0.8	30	1.8     0.01
0.9	30	1.8	0.01
1.0	30	1.8	0.01
1.1	30	1.8	0.01
1.2	30	1.8	0.01
1.3	30	1.8	0.01
1.4	30	1.8	0.01
1.5	30	1.8	0.01
1.6	30	1.8	0.01
1.7	30	1.8	0.01
1.8	30	1.8	0.01
1.9	30	1.8	0.01
2.0	30	1.8	0.01
2.1	30	1.8	0.01
2.2	30	1.8	0.01
2.3	30	1.8	0.01
2.4	30	1.8	0.01
2.5	30	1.8	0.01
2.6	30	1.8	0.01
2.7	30	1.8	0.01
2.8	30	1.8	0.01
2.9	30	1.8	0.01
3.0	30	1.8	0.01
3.1	30	1.8	0.01
3.2	30	1.8	0.01
3.2	30	1.8	0.01
3.4	30	1.8	0.01
3.5	30	1.8	0.01
3.6	30	1.8	0.01
3.7	30	1.8	0.01
3.8	30	1.8	0.01
3.9	30	1.8	0.01
4.0	30	1.8	0.01
