#freq	Trx	G	eps
0.7	33.7197	2.220400942	0.1
0.740	33.7197	2.220400942	0.01
0.800	22.8075	2.1660596014	0.01
0.900	35.7741	2.3382618659	0.01
1.000	24.2386	2.2325712862	0.01
1.250	30.0696	2.0958134783	0.01
1.500	27.4596	2.1194004529	0.01
1.750	31.8557	2.0621182065	0.01
2.000	29.5733	2.0677383514	0.01
2.250	19.81504	1.933090942	0.01
2.500	25.0422	1.8063418841	0.01
2.750	42.5793	1.9666895109	0.01
3.000	33.5055	2.2020586775	0.01
3.250	29.8144	2.0343047464	0.01
3.500	22.1438	1.4575174638	0.01
3.750	40.0831	1.3414938949	0.01
4.000	57.5452	0.9699130072	0.01
