#freq	Trx	G	eps 
0.7     20      2.0     0.01
0.8	20	2.0     0.01
0.9	20	2.0	0.01
1.0	20	2.0	0.01
1.1	20	2.0	0.01
1.2	20	2.0	0.01
1.3	20	2.0	0.01
1.4	20	2.0	0.01
1.5	20	2.0	0.01
1.6	20	2.0	0.01
1.7	20	2.0	0.01
2.0	20	2.0	0.01
1.9	20	2.0	0.01
2.0	20	2.0	0.01
2.1	20	2.0	0.01
2.2	20	2.0	0.01
2.3	20	2.0	0.01
2.4	20	2.0	0.01
2.5	20	2.0	0.01
2.6	20	2.0	0.01
2.7	20	2.0	0.01
2.8	20	2.0	0.01
2.9	20	2.0	0.01
3.0	20	2.0	0.01
3.1	20	2.0	0.01
3.2	20	2.0	0.01
3.2	20	2.0	0.01
3.4	20	2.0	0.01
3.5	20	2.0	0.01
3.6	20	2.0	0.01
3.7	20	2.0	0.01
3.8	20	2.0	0.01
3.9	20	2.0	0.01
4.0	20	2.0	0.01
