#freq	Trx	G	eps
0.68	23.46	1.97	0.01
0.688	18.6	1.96	0.01
0.696	15.77	1.96	0.01
0.704	14.56	1.95	0.01
0.712	14.57	1.94	0.01
0.72	15.38	1.94	0.01
0.728	16.59	1.93	0.01
0.736	16.43	1.91	0.01
0.744	15.72	1.88	0.01
0.752	14.96	1.86	0.01
0.76	14.19	1.84	0.01
0.768	13.46	1.82	0.01
0.776	12.87	1.81	0.01
0.784	12.37	1.81	0.01
0.792	11.94	1.81	0.01
0.8	11.57	1.81	0.01
0.808	11.38	1.82	0.01
0.816	11.25	1.83	0.01
0.824	11.13	1.85	0.01
0.832	11.01	1.86	0.01
0.84	10.85	1.87	0.01
0.848	10.36	1.87	0.01
0.856	9.9	1.87	0.01
0.864	9.52	1.87	0.01
0.872	9.47	1.88	0.01
0.88	10.11	1.9	0.01
0.888	10.84	1.91	0.01
0.896	11.53	1.91	0.01
0.904	12.01	1.9	0.01
0.912	12.14	1.86	0.01
0.92	11.77	1.79	0.01
1.2	11.25	2.05	0.01
1.22	11.26	2.06	0.01
1.24	11.25	2.06	0.01
1.26	11.25	2.05	0.01
1.28	11.25	2.04	0.01
1.3	11.24	2.03	0.01
1.32	11.24	2.02	0.01
1.34	11.23	2.01	0.01
1.36	11.23	2	0.01
1.38	11.22	2	0.01
1.4	11.22	1.99	0.01
1.42	11.22	2.01	0.01
1.44	11.22	2.03	0.01
1.46	11.22	2.05	0.01
1.48	11.22	2.06	0.01
1.5	11.23	2.08	0.01
1.52	11.22	2.06	0.01
1.54	11.21	2.05	0.01
1.56	11.19	2.03	0.01
1.58	11.18	2.02	0.01
1.6	11.18	2.01	0.01
1.62	11.18	2.04	0.01
1.64	11.19	2.08	0.01
1.66	11.2	2.12	0.01
1.68	11.2	2.15	0.01
1.7	11.2	2.17	0.01
1.72	11.19	2.16	0.01
1.74	11.17	2.16	0.01
1.76	11.16	2.15	0.01
1.78	11.15	2.14	0.01
1.8	11.15	2.14	0.01
