#freq (MHz)	Spillover Eff	Tspill (K)	Tsys – Tgal	Total Eff	G (K/Jy)	eps
680	0.91910	23.46	26.46	0.69350	1.97	0.01
688	0.93586	18.60	21.60	0.69038	1.96	0.01
696	0.94562	15.77	18.77	0.68781	1.96	0.01
704	0.94978	14.56	17.56	0.68549	1.95	0.01
712	0.94976	14.57	17.57	0.68313	1.94	0.01
720	0.94696	15.38	18.38	0.68045	1.94	0.01
728	0.94279	16.59	19.59	0.67715	1.93	0.01
736	0.94336	16.43	19.43	0.67032	1.91	0.01
744	0.94581	15.72	18.72	0.66204	1.88	0.01
752	0.94842	14.96	17.96	0.65380	1.86	0.01
760	0.95106	14.19	17.19	0.64618	1.84	0.01
768	0.95360	13.46	16.46	0.63975	1.82	0.01
776	0.95563	12.87	15.87	0.63668	1.81	0.01
784	0.95735	12.37	15.37	0.63568	1.81	0.01
792	0.95884	11.94	14.94	0.63600	1.81	0.01
800	0.96010	11.57	14.57	0.63750	1.81	0.01
808	0.96075	11.38	14.38	0.64083	1.82	0.01
816	0.96122	11.25	14.25	0.64485	1.83	0.01
824	0.96161	11.13	14.13	0.64917	1.85	0.01
832	0.96204	11.01	14.01	0.65336	1.86	0.01
840	0.96260	10.85	13.85	0.65700	1.87	0.01
848	0.96429	10.36	13.36	0.65814	1.87	0.01
856	0.96588	9.90	12.90	0.65870	1.87	0.01
864	0.96716	9.52	12.52	0.65882	1.87	0.01
872	0.96736	9.47	12.47	0.66043	1.88	0.01
880	0.96515	10.11	13.11	0.66718	1.90	0.01
888	0.96261	10.84	13.84	0.67202	1.91	0.01
896	0.96025	11.53	14.53	0.67282	1.91	0.01
904	0.95858	12.01	15.01	0.66745	1.90	0.01
912	0.95813	12.14	15.14	0.65379	1.86	0.01
920	0.95940	11.77	14.77	0.62970	1.79	0.01
